City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
164,Mount Isa,AU,74.97,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
166,Tignere,CM,80.8,overcast clouds,7.3667,12.65,SADECK
170,Eloy,US,84.4,clear sky,32.7559,-111.5548,Eloy RV & Mobile Home Park
172,Huarmey,PE,74.97,few clouds,-10.0681,-78.1522,Hotel Miramar
175,Bengkulu,ID,76.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
176,Meulaboh,ID,74.25,overcast clouds,4.1363,96.1285,Kost Pria
179,Sola,VU,79.29,overcast clouds,-13.8833,167.55,Leumerus Bungalows
180,Fare,PF,81.75,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
182,Rayong,TH,74.77,overcast clouds,12.8333,101.4333,Suan Palm Garden View Hotel
184,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
185,Isangel,VU,80.24,overcast clouds,-19.55,169.2667,Tanna Lodge
190,Kot Samaba,PK,80.65,few clouds,28.5522,70.4684,Nadeem Sweet Mart
194,Atar,MR,77.85,clear sky,20.5169,-13.0499,Oumou Elghoura
198,Hithadhoo,MV,83.03,broken clouds,-0.6,73.0833,Scoop Guest House
199,Sao Felix Do Xingu,BR,80.04,very heavy rain,-6.6447,-51.995,Rio Xingu Camping
201,Royal Palm Beach,US,82.99,broken clouds,26.7084,-80.2306,The Royal Inn Hotel
203,Mangan,IN,70.09,overcast clouds,27.5167,88.5333,Hotel Mout View
205,Karratha,AU,80.78,clear sky,-20.7377,116.8463,ibis Styles Karratha
206,Santo Tomas,PH,78.49,broken clouds,14.1079,121.1414,Microtel by Wyndham Batangas
208,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
209,San Policarpo,PH,79.18,overcast clouds,12.1791,125.5072,Agapita M. Nicart
211,Chuy,UY,71.62,light rain,-33.6971,-53.4616,Nuevo Hotel Plaza
215,Anito,PH,77.34,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
217,San Patricio,US,88.16,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
218,Tautira,PF,81.81,light rain,-17.7333,-149.15,Pension Oaoa
220,San Juan,AR,71.83,clear sky,-31.5375,-68.5364,Hotel Provincial
221,Acapulco,MX,84.76,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
224,Mana,GF,80.01,scattered clouds,5.6592,-53.7767,LE SAMANA
233,Olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
235,Vicuna,CL,85.77,clear sky,-30.0319,-70.7081,Los Mosaicos
242,Puerto Quijarro,BO,87.4,overcast clouds,-17.7833,-57.7667,Hotel palance
243,Saint-Pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
244,Santiago Del Estero,AR,83.26,clear sky,-27.7951,-64.2615,Apartamentos Castelli 90
246,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
252,Hambantota,LK,78.1,few clouds,6.1241,81.1185,Bungalow 63
255,Miri,MY,75.34,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
260,Faanui,PF,81.82,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
268,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
270,Feijo,BR,82.22,overcast clouds,-8.1642,-70.3536,Hotel e Restaurante Aҫai
271,Mogadishu,SO,81.68,broken clouds,2.0371,45.3438,Hotel Juba
272,Joao Pinheiro,BR,85.23,clear sky,-17.7425,-46.1725,Hotel Santos
274,Tartagal,AR,83.26,clear sky,-22.5164,-63.8013,Almuñecar Hotel
278,Namatanai,PG,78.37,light rain,-3.6667,152.4333,Seagulls Inn Namatani
280,Jalu,LY,78.8,clear sky,29.0331,21.5482,صاحبة الفخامة
285,Puerto Escondido,MX,87.17,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
295,Oussouye,SN,77.18,overcast clouds,12.485,-16.5469,Auberge du Routard
296,Luanda,AO,80.6,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
298,Abu Dhabi,AE,75.31,clear sky,24.4667,54.3667,Beach Rotana
299,Ambilobe,MG,73.2,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
301,Bambanglipuro,ID,76.06,overcast clouds,-7.95,110.2833,Puri Brata
303,Pacifica,US,77.61,mist,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
308,Srivardhan,IN,78.35,few clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
309,Asyut,EG,78.98,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
313,Pandan,PH,78.28,broken clouds,14.0453,124.1694,Bonifacio Lodge
314,Rincon,US,77.86,clear sky,32.296,-81.2354,Days Inn Rincon
315,Geraldton,AU,72.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
320,Catuday,PH,77.77,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
321,Buchanan,LR,79.5,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
323,Ilo,PE,71.87,clear sky,-17.6394,-71.3375,Torreblanca Hotel
326,Wiang Sa,TH,74.26,moderate rain,8.6359,99.3666,ชำนาญอินน์
329,Maumere,ID,77.9,scattered clouds,-8.6199,122.2111,Sylvia Hotel
339,Yenagoa,NG,79.86,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
342,Kamir,PK,75.97,clear sky,30.4333,73.05,Ali Furniture Mart
344,Coracao De Jesus,BR,85.5,clear sky,-16.6853,-44.365,Hotel Neves
346,Chicontepec,MX,87.64,broken clouds,20.9667,-98.1667,HOTEL LA GLORIETA
347,Puerto Castilla,HN,85.95,few clouds,16.0167,-85.9667,Jito Beach
349,Adolfo Lopez Mateos,MX,71.92,scattered clouds,28.4667,-107.3,Hotel Victor Inn
350,Sapele,NG,80.42,broken clouds,5.8941,5.6767,Movig Hotel & Suites
353,Sao Joao Da Barra,BR,78.89,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
354,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
355,Sabya,SA,85.62,clear sky,17.1495,42.6254,Aseel Hotel Apartment
361,Fatehpur,IN,82.9,clear sky,25.9333,80.8,Hotel Bombay Lodge
364,Impfondo,CG,71.69,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
365,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
369,Jamkhandi,IN,82.8,overcast clouds,16.5167,75.3,Hotel Shreyas
374,Kavaratti,IN,82.31,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
379,Calama,CL,73.89,clear sky,-22.4667,-68.9333,Park Hotel Calama
380,Marsh Harbour,BS,78.13,broken clouds,26.5412,-77.0636,Abaco Beach Resort
388,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
392,Port Antonio,JM,88.0,scattered clouds,18.18,-76.4612,The Trident Hotel
397,Rocha,UY,71.31,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
398,Puerto Ayacucho,VE,87.48,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
400,Pakokku,MM,82.94,overcast clouds,21.3333,95.1,Royal Palace Motel
403,Gat,IL,72.39,overcast clouds,31.61,34.7642,OlusHome
