City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Sawtell,AU,2022-03-29 06:57:58,-30.3833,153.1,69.82,88,75,19.57
67,Brufut,GM,2022-03-29 06:57:58,13.3814,-16.7518,69.06,69,100,14.65
68,Huilong,CN,2022-03-29 06:57:59,31.8111,121.655,56.32,68,33,13.18
69,Haimen,CN,2022-03-29 06:57:59,23.1935,116.6142,69.69,77,96,17.49
70,Orono,US,2022-03-29 06:55:32,44.8831,-68.672,20.34,70,100,11.07
71,Kapaa,US,2022-03-29 06:57:59,22.0752,-159.319,72.12,84,100,8.77
72,Andradina,BR,2022-03-29 06:58:00,-20.8961,-51.3794,68.25,91,0,7.14
73,Dali,CN,2022-03-29 06:58:00,25.7,100.1833,66.79,47,66,8.68
74,Joshimath,IN,2022-03-29 06:58:01,30.5667,79.5667,76.12,30,0,6.51
75,Lincoln,US,2022-03-29 06:58:01,40.8,-96.667,41.13,55,41,10.0
76,Tupa,BR,2022-03-29 06:56:14,-21.9347,-50.5136,66.7,95,0,6.89
77,Salalah,OM,2022-03-29 06:58:01,17.0151,54.0924,88.16,17,0,18.05
78,Atyrau,KZ,2022-03-29 06:58:02,47.1167,51.8833,42.82,52,40,38.03
79,Arraial Do Cabo,BR,2022-03-29 06:58:02,-22.9661,-42.0278,73.26,94,40,3.44
80,Amos,CA,2022-03-29 06:58:02,48.5669,-78.1162,0.18,99,80,3.76
81,Erdenet,MN,2022-03-29 06:58:03,49.0333,104.0833,34.11,37,73,4.43
82,Valparaiso,CL,2022-03-29 06:58:03,-33.0393,-71.6273,57.47,66,0,3.44
83,Srednekolymsk,RU,2022-03-29 06:58:03,67.45,153.6833,9.1,89,18,9.33
84,Norman Wells,CA,2022-03-29 06:58:04,65.282,-126.8329,1.44,71,20,5.75
85,Ippy,CF,2022-03-29 06:58:04,6.2679,21.2247,88.95,12,15,4.09
86,New Norfolk,AU,2022-03-29 06:58:04,-42.7826,147.0587,68.9,52,98,1.01
87,Bjerkvik,NO,2022-03-29 06:58:05,68.5597,17.5189,22.68,92,100,2.64
88,Grindavik,IS,2022-03-29 06:58:05,63.8424,-22.4338,37.87,75,75,12.66
89,Saint-Philippe,RE,2022-03-29 06:58:05,-21.3585,55.7679,84.22,76,91,6.26
90,Bredasdorp,ZA,2022-03-29 06:56:36,-34.5322,20.0403,71.29,42,100,9.26
91,Vengerovo,RU,2022-03-29 06:59:06,55.6848,76.7471,31.39,99,100,10.85
92,Riyadh,SA,2022-03-29 06:59:06,24.6877,46.7219,62.74,17,1,12.57
93,Rodrigues Alves,BR,2022-03-29 06:59:06,-7.738,-72.6509,71.8,99,100,1.72
94,Sweetwater,US,2022-03-29 06:59:07,25.7634,-80.3731,69.01,85,7,6.02
95,Charqueada,BR,2022-03-29 06:59:07,-22.5097,-47.7781,65.19,98,38,3.47
96,Bundaberg,AU,2022-03-29 06:59:07,-24.85,152.35,86.29,42,74,9.22
97,Khani,GE,2022-03-29 06:59:08,41.9563,42.9566,38.77,92,16,5.57
98,Ketchikan,US,2022-03-29 06:59:08,55.3422,-131.6461,42.96,72,100,4.0
99,Bonavista,CA,2022-03-29 06:59:08,48.6499,-53.1147,32.23,99,100,13.53
100,Barrow,US,2022-03-29 06:59:09,71.2906,-156.7887,-11.09,94,65,18.43
101,Lavrentiya,RU,2022-03-29 06:59:09,65.5833,-171.0,-3.68,92,4,7.61
102,Zhangye,CN,2022-03-29 06:59:09,38.9342,100.4517,54.55,20,92,10.76
103,Lakes Entrance,AU,2022-03-29 06:59:09,-37.8811,147.981,67.15,77,100,6.49
104,Preobrazheniye,RU,2022-03-29 06:59:10,42.9019,133.9064,41.59,75,13,11.56
105,Tinaquillo,VE,2022-03-29 06:59:10,9.9186,-68.3047,70.81,84,100,3.56
106,Mahebourg,MU,2022-03-29 06:55:09,-20.4081,57.7,84.25,65,20,6.91
107,High Rock,BS,2022-03-29 06:59:10,26.6208,-78.2833,69.82,59,78,9.78
108,Atuona,PF,2022-03-29 06:59:11,-9.8,-139.0333,79.07,79,64,15.26
109,Kysyl-Syr,RU,2022-03-29 06:59:11,63.8986,122.7617,16.34,82,100,9.31
110,Champerico,GT,2022-03-29 06:59:11,14.3,-91.9167,81.28,69,96,7.74
111,Roros,NO,2022-03-29 06:59:12,62.5747,11.3842,21.04,73,20,8.05
112,Lazaro Cardenas,MX,2022-03-29 06:59:12,17.9583,-102.2,70.32,78,1,4.21
113,Jeremie,HT,2022-03-29 06:59:12,18.65,-74.1167,76.24,74,62,10.16
114,Port Alfred,ZA,2022-03-29 06:59:13,-33.5906,26.891,83.25,50,10,5.91
115,Mehamn,NO,2022-03-29 06:59:13,71.0357,27.8492,30.11,75,100,31.63
